ARTIST NAME,GENDER,NATIONALITY,BIRTH_YEAR,DEATH_YEAR,OBJECT_TITLE,OBJECT_DATE,MEDIUM,PRIMARY_MEDIUM,ACCESSION_NUMBER,ACCESSION_YEAR,STATUS
Judith Rothschild,Female,American,1922-01-01T00:00:00Z,1993-01-01T00:00:00Z,Death of Patroklos,1987-01-01T00:00:00Z,Acrylic and aluminum on canvas/ mounted to aluminum panel,Acrylic,1997.405.1,1997-01-01T00:00:00Z,Not on view
Mark Rothko,Male,American,1903-01-01T00:00:00Z,1970-01-01T00:00:00Z,Untitled,1964-01-01T00:00:00Z,Acrylic and casein on canvas,Acrylic,"1,995.545",1995-01-01T00:00:00Z,Not on view
Clifford Ross,Male,American,1952-01-01T00:00:00Z,Null,Brazilian Landscape,1980-01-01T00:00:00Z,Acrylic and charcoal on canvas,Acrylic,"1,984.262",1984-01-01T00:00:00Z,Not on view
Roberto Juarez,Male,American,1952-01-01T00:00:00Z,Null,Egg Fountain,1986-01-01T00:00:00Z,Acrylic and charcoal on canvas,Acrylic,"1,987.234",1987-01-01T00:00:00Z,Not on view
Chris Baker,Male,British,1944-01-01T00:00:00Z,Null,Distant Prospect,1984-01-01T00:00:00Z,Acrylic and charcoal on canvas,Acrylic,"1,985.72",1985-01-01T00:00:00Z,Not on view
Claude Lawrence,Male,American,1944-01-01T00:00:00Z,Null,Dancing Eyes,2003-01-01T00:00:00Z,Acrylic and crayon on paper,Acrylic,2014.492.5,2014-01-01T00:00:00Z,Not on view
Margo Hoff,Female,American,1912-01-01T00:00:00Z,2008-01-01T00:00:00Z,Disco,1981-01-01T00:00:00Z,Acrylic and cut and pasted canvas on canvas,Acrylic,"1,981.408",1981-01-01T00:00:00Z,Not on view
Malcolm Bailey,Male,American,1947-01-01T00:00:00Z,2011-01-01T00:00:00Z,Untitled #8,1971-01-01T00:00:00Z,Acrylic and cut and pasted papers on Plexiglas,Acrylic,2011.590.1,2011-01-01T00:00:00Z,Not on view
Anselm Kiefer,Male,German,1945-01-01T00:00:00Z,Null,Br√ºnnhilde Sleeps,1980-01-01T00:00:00Z,Acrylic and gouache on photograph,Acrylic,1995.14.30,1995-01-01T00:00:00Z,Not on view
Anselm Kiefer,Male,German,1945-01-01T00:00:00Z,Null,Siegfried's Difficult Way to Br√ºnnhilde,1980-01-01T00:00:00Z,Acrylic and gouache on photograph,Acrylic,1995.14.35,1995-01-01T00:00:00Z,Not on view
Gene Davis,Male,American,1920-01-01T00:00:00Z,1985-01-01T00:00:00Z,King of Clubs,1978-01-01T00:00:00Z,Acrylic and graphite on canvas,Acrylic,"1,981.148",1981-01-01T00:00:00Z,Not on view
Jose González Veites,Male,Mexican,1957-01-01T00:00:00Z,Null,Nominations III,1988-01-01T00:00:00Z,Acrylic and graphite on canvas,Acrylic,"1,990.194",1990-01-01T00:00:00Z,Not on view
Michael Andrews,Male,British,1928-01-01T00:00:00Z,1995-01-01T00:00:00Z,Lights IV: The Pier and the Road,1973-01-01T00:00:00Z,Acrylic and graphite on canvas,Acrylic,"1,981.196",1981-01-01T00:00:00Z,Not on view
Sylvia Plimack Mangold,Female,American,1938-01-01T00:00:00Z,Null,Exact and Diminishing,1976-01-01T00:00:00Z,Acrylic and graphite on canvas with traces of red cont√©,Acrylic,"2,012.567",2012-01-01T00:00:00Z,Not on view
Elmar Rojas,Male,Guatemalan,1938-01-01T00:00:00Z,Null,Rituals,1995-01-01T00:00:00Z,Acrylic and metallic paints on canvas,Acrylic,"1,996.55",1996-01-01T00:00:00Z,Not on view
Julian Schnabel,Male,American,1951-01-01T00:00:00Z,Null,Archetypal Painting for A.G.,1975-01-01T00:00:00Z,Acrylic and modeling paste on canvas,Acrylic,1988.417.5,1988-01-01T00:00:00Z,Not on view
Peter Fletcher,Male,American,1956-01-01T00:00:00Z,Null,The Eye's Mind/The Mind's Eye,1986-01-01T00:00:00Z,Acrylic and modelling paste on canvas,Acrylic,1986.230.2,1986-01-01T00:00:00Z,Not on view
Doug Anderson,Male,American,1954-01-01T00:00:00Z,Null,Can't,1985-01-01T00:00:00Z,Acrylic and oil on canvas,Acrylic,"1,986.225",1986-01-01T00:00:00Z,Not on view
Frank Bowling,Male,British,1936-01-01T00:00:00Z,Null,Barticaflats Even Time,1980-01-01T00:00:00Z,Acrylic and oil on canvas,Acrylic,"1,981.509",1981-01-01T00:00:00Z,Not on view
Nicholas Africano,Male,American,1948-01-01T00:00:00Z,Null,Study for Evelina's Grandmother (Curtsey,1984-01-01T00:00:00Z,Acrylic and oil on canvas,Acrylic,"1,984.376",1984-01-01T00:00:00Z,Not on view
Tomma Abts,Female,German,1967-01-01T00:00:00Z,Null,Kobo,1999-01-01T00:00:00Z,Acrylic and oil on canvas,Acrylic,"2,013.111",2013-01-01T00:00:00Z,Not on view
Jean Dubuffet,Male,French,1901-01-01T00:00:00Z,1985-01-01T00:00:00Z,Jean Paulhan,1946-01-01T00:00:00Z,Acrylic and oil on Masonite,Acrylic,1999.363.20,1999-01-01T00:00:00Z,On view in Gallery 906
James Brooks,Male,American,1906-01-01T00:00:00Z,1992-01-01T00:00:00Z,"Number 4, 1960",1960-01-01T00:00:00Z,Acrylic and oil on paper,Acrylic,"1,991.211",1991-01-01T00:00:00Z,Not on view
Cham Hendon,Male,American,1936-01-01T00:00:00Z,2014-01-01T00:00:00Z,Air Crash,1983-01-01T00:00:00Z,Acrylic and rhoplex on canvas,Acrylic,"1,983.389",1983-01-01T00:00:00Z,Not on view
Joe Zucker,Male,American,1941-01-01T00:00:00Z,Null,Prototype/ Number 1,1980-01-01T00:00:00Z,Acrylic and rhoplex on canvas,Acrylic,1988.417.6,1988-01-01T00:00:00Z,Not on view
Tim Storrier,Male,Australian,1949-01-01T00:00:00Z,Null,Noon: Blaze Line/ Number 1,1990-01-01T00:00:00Z,Acrylic and rope on wood,Acrylic,1991.24.2,1991-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Flowers,1967-01-01T00:00:00Z,Acrylic and silkscreen enamel on canvas,Acrylic,"1,979.549",1979-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Flowers,1967-01-01T00:00:00Z,Acrylic and silkscreen enamel on canvas,Acrylic,"1,985.426",1985-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Mona Lisa,1963-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,65.273,1965-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Mao,1972-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,1977.226.9,1977-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Kimiko Powers,1972-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,1980.288ab,1980-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Skull,1977-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,1981.536.2,1981-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Mao,1973-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,1983.606.1,1983-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Nine Jackies,1964-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,1983.606.14-22,1983-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Mao,1973-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,1983.606.2-13,1983-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Still Life,1976-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,"1,986.402",1986-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Self-Portrait,1986-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,"1,987.88",1987-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Ethel Scull 36 Times,1963-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,2001.614a-j,2001-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Portrait of Stephen Mazoh,1974-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,2004.224.1,2004-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Portrait of Stephen Mazoh,1974-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,2004.224.2,2004-01-01T00:00:00Z,Not on view
Andy Warhol,Male,American,1928-01-01T00:00:00Z,1987-01-01T00:00:00Z,Milan Hollow Farm,1977-01-01T00:00:00Z,Acrylic and silkscreen on canvas,Acrylic,2004.224.3,2004-01-01T00:00:00Z,Not on view
Alan Shields,Male,American,1944-01-01T00:00:00Z,2005-01-01T00:00:00Z,Flag of Hudson Avenue No.2,1976-01-01T00:00:00Z,Acrylic and thread on canvas,Acrylic,"1,984.291",1984-01-01T00:00:00Z,Not on view
Kay WalkingStick,Female,American,1935-01-01T00:00:00Z,Null,Genesis/Violent Garden,1981-01-01T00:00:00Z,Acrylic and wax over ink with modeling paste/ broken seashells and sparkles on canvas,Acrylic,"1,993.39",1993-01-01T00:00:00Z,Not on view
Tim Storrier,Male,Australian,1949-01-01T00:00:00Z,Null,The Door/ Number 1,1990-01-01T00:00:00Z,Acrylic and wood/ on wood,Acrylic,1991.24.3,1991-01-01T00:00:00Z,Not on view
A. Robert Birmelin,Male,American,1933-01-01T00:00:00Z,Null,City Crowd/ Cop and Ear,1980-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,981.51",1981-01-01T00:00:00Z,Not on view
Al Held,Male,American,1928-01-01T00:00:00Z,2005-01-01T00:00:00Z,Mercury Zone III,1975-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,976.21",1976-01-01T00:00:00Z,On view in Gallery 915
Al Held,Male,American,1928-01-01T00:00:00Z,2005-01-01T00:00:00Z,Greek Garden,1966-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1987.154a-h,1987-01-01T00:00:00Z,Not on view
Allan d' Arcangelo,Male,American,1930-01-01T00:00:00Z,1998-01-01T00:00:00Z,SSO,1986-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,990.72",1990-01-01T00:00:00Z,Not on view
Arakawa,Male,American,1936-01-01T00:00:00Z,2010-01-01T00:00:00Z,Blank Dots,1982-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,985.442",1985-01-01T00:00:00Z,Not on view
Charles Seliger,Male,American,1926-01-01T00:00:00Z,2009-01-01T00:00:00Z,Tempest,1977-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,979.543",1979-01-01T00:00:00Z,Not on view
Clifford Ross,Male,American,1952-01-01T00:00:00Z,Null,That Which Is Delicious,1976-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1978.567.6,1978-01-01T00:00:00Z,Not on view
Dan Christensen,Male,American,1942-01-01T00:00:00Z,2007-01-01T00:00:00Z,Auk,1968-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1974.376.1,1974-01-01T00:00:00Z,Not on view
David Hockney,Male,British,1937-01-01T00:00:00Z,Null,Mount Fuji and Flowers,1972-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,972.128",1972-01-01T00:00:00Z,On view in Gallery 915
Don Eddy,Male,American,1944-01-01T00:00:00Z,Null,Dreamreader's Table IV,1989-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"2,003.599",2003-01-01T00:00:00Z,Not on view
Edward Avedisian,Male,American,1936-01-01T00:00:00Z,2007-01-01T00:00:00Z,Untitled,1965-01-01T00:00:00Z,Acrylic on canvas,Acrylic,68.122,1968-01-01T00:00:00Z,Not on view
Edward Avedisian,Male,American,1936-01-01T00:00:00Z,2007-01-01T00:00:00Z,Kool-Aid,1969-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,970.79",1970-01-01T00:00:00Z,Not on view
Elmer Bischoff,Male,American,1916-01-01T00:00:00Z,1991-01-01T00:00:00Z,Untitled No. 66,1982-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,983.392",1983-01-01T00:00:00Z,Not on view
Fairfield Porter,Male,American,1907-01-01T00:00:00Z,1975-01-01T00:00:00Z,The Kittiwake and The John Walton,1962-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1976.250.4,1976-01-01T00:00:00Z,Not on view
Frank Bowling,Male,British,1936-01-01T00:00:00Z,Null,Clem's No. I,1972-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1980.574.2,1980-01-01T00:00:00Z,Not on view
Frank Bowling,Male,British,1936-01-01T00:00:00Z,Null,Night Journey,1969-01-01T00:00:00Z,Acrylic on canvas,Acrylic,2011.590.2,2011-01-01T00:00:00Z,Not on view
Gary Stephan,Male,American,1942-01-01T00:00:00Z,Null,The Madhouse of God,1980-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,989.403",1989-01-01T00:00:00Z,Not on view
Gene Davis,Male,American,1920-01-01T00:00:00Z,1985-01-01T00:00:00Z,Self-Portrait,1982-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1983.78.2,1983-01-01T00:00:00Z,Not on view
George McNeil,Male,American,1908-01-01T00:00:00Z,1995-01-01T00:00:00Z,Anxious Hookers,1984-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,986.178",1986-01-01T00:00:00Z,Not on view
Gory,Male,Cuban,1953-01-01T00:00:00Z,Null,Are there Ghosts in my House?,1994-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,996.541",1996-01-01T00:00:00Z,Not on view
Hans Hartung,Male,French,1904-01-01T00:00:00Z,1989-01-01T00:00:00Z,T 1965-E,1965-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,972.129",1972-01-01T00:00:00Z,Not on view
Henry Pearson,Male,American,1914-01-01T00:00:00Z,2006-01-01T00:00:00Z,Earth Script,1973-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1998.183.2,1998-01-01T00:00:00Z,Not on view
Ilya Bolotowsky,Male,American,1907-01-01T00:00:00Z,1981-01-01T00:00:00Z,Large Blue Horizontal,1975-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,976.182",1976-01-01T00:00:00Z,Not on view
Jack Bush,Male,Canadian,1909-01-01T00:00:00Z,1977-01-01T00:00:00Z,Mood Indigo,1976-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,986.274",1986-01-01T00:00:00Z,Not on view
Jack Whitten,Male,American,1939-01-01T00:00:00Z,Null,Delta Group II,1975-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,975.155",1975-01-01T00:00:00Z,Not on view
James Havard,Male,American,1937-01-01T00:00:00Z,Null,Mango,1983-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,983.536",1983-01-01T00:00:00Z,Not on view
Jim Waid,Male,American,1942-01-01T00:00:00Z,Null,Gazelle,1986-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1986.262.3,1986-01-01T00:00:00Z,Not on view
John Hull,Male,American,1952-01-01T00:00:00Z,Null,Hill of the Cross,1984-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,986.218",1986-01-01T00:00:00Z,Not on view
John McLaughlin,Male,American,1898-01-01T00:00:00Z,1976-01-01T00:00:00Z,"#3, 1970",1970-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,976.95",1976-01-01T00:00:00Z,Not on view
Jules Olitski,Male,American,1922-01-01T00:00:00Z,2007-01-01T00:00:00Z,Frame Extension,1966-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,975.188",1975-01-01T00:00:00Z,Not on view
Jules Olitski,Male,American,1922-01-01T00:00:00Z,2007-01-01T00:00:00Z,Mother of Night 2,1973-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,977.469",1977-01-01T00:00:00Z,Not on view
Jules Olitski,Male,American,1922-01-01T00:00:00Z,2007-01-01T00:00:00Z,(Twice) Disarmed,1968-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,986.364",1986-01-01T00:00:00Z,Not on view
Jules Olitski,Male,American,1922-01-01T00:00:00Z,2007-01-01T00:00:00Z,Purple Mekle Lippis,1961-01-01T00:00:00Z,Acrylic on canvas,Acrylic,2006.32.50,2006-01-01T00:00:00Z,Not on view
Julian Stanczak,Male,American,1928-01-01T00:00:00Z,Null,Obsession II,1965-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,998.439",1998-01-01T00:00:00Z,Not on view
Kenneth Noland,Male,American,1924-01-01T00:00:00Z,2010-01-01T00:00:00Z,October,1961-01-01T00:00:00Z,Acrylic on canvas,Acrylic,2006.32.48,2006-01-01T00:00:00Z,On view in Gallery 923
Larry Poons,Male,American,1937-01-01T00:00:00Z,Null,Number 23,1972-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,973.66",1973-01-01T00:00:00Z,Not on view
Leonid Lamm,Male,American,1928-01-01T00:00:00Z,Null,Untitled (Washington and Lenin,1991-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1993.495.2,1993-01-01T00:00:00Z,Not on view
Lucas Samaras,Male,American,1936-01-01T00:00:00Z,Null,Wound #18,2000-01-01T00:00:00Z,Acrylic on canvas,Acrylic,2014.40.8,2014-01-01T00:00:00Z,Not on view
Luis Cruz Azaceta,Male,American,1942-01-01T00:00:00Z,Null,The Dance of Latin America,1983-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,985.32",1985-01-01T00:00:00Z,Not on view
Mario Bencomo,Male,American,1953-01-01T00:00:00Z,Null,On Tropical Thoughts,1992-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,996.548",1996-01-01T00:00:00Z,Not on view
Merrill Mahaffey,Male,American,1937-01-01T00:00:00Z,Null,Rock and River,1984-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1991.175.4,1991-01-01T00:00:00Z,Not on view
Nabil Nahas,Male,Lebanese,1949-01-01T00:00:00Z,Null,Tink Tonk,1979-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,981.8",1981-01-01T00:00:00Z,Not on view
Neil Jenney,Male,American,1945-01-01T00:00:00Z,Null,Man and Challenge,1969-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,988.161",1988-01-01T00:00:00Z,Not on view
Paul Feeley,Male,American,1910-01-01T00:00:00Z,1966-01-01T00:00:00Z,Rijo,1963-01-01T00:00:00Z,Acrylic on canvas,Acrylic,2006.32.16,2006-01-01T00:00:00Z,On view in Gallery 923
Paul Wonner,Male,American,1920-01-01T00:00:00Z,2008-01-01T00:00:00Z,"Dutch Still Life with Orchids/ Postcard View of / and ""Death of Marat""",1983-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,983.454",1983-01-01T00:00:00Z,Not on view
Peter Bradley,Male,American,1940-01-01T00:00:00Z,Null,Pink Elephant,1970-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,980.274",1980-01-01T00:00:00Z,Not on view
Peter Schuyff,Male,Dutch,1958-01-01T00:00:00Z,Null,Yellow Man,1984-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1988.417.3,1988-01-01T00:00:00Z,Not on view
Richard Anuszkiewicz,Male,American,1930-01-01T00:00:00Z,Null,"Winter, Summer Reds",1973-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,981.191",1981-01-01T00:00:00Z,Not on view
Richard Pousette-Dart,Male,American,1916-01-01T00:00:00Z,1992-01-01T00:00:00Z,Presence/ Ramapo Horizon,1975-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,982.68",1982-01-01T00:00:00Z,Not on view
Richard Pousette-Dart,Male,American,1916-01-01T00:00:00Z,1992-01-01T00:00:00Z,Path of the Hero,1950-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,987.3",1987-01-01T00:00:00Z,Not on view
Robert Colescott,Male,American,1925-01-01T00:00:00Z,2009-01-01T00:00:00Z,Knowledge of the Past Is the Key to the Future: Some Afterthoughts on Discovery,1986-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,987.166",1987-01-01T00:00:00Z,Not on view
Robert Natkin,Male,American,1930-01-01T00:00:00Z,2010-01-01T00:00:00Z,Bern Series,1983-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,983.351",1983-01-01T00:00:00Z,Not on view
Robert Swain,Male,American,1940-01-01T00:00:00Z,Null,For Tony's Jane,1979-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,982.12",1982-01-01T00:00:00Z,Not on view
Sam Gilliam,Male,American,1933-01-01T00:00:00Z,Null,Whirlirama,1970-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"2,014.441",2014-01-01T00:00:00Z,Not on view
Sanford Wurmfeld,Male,American,1942-01-01T00:00:00Z,Null,"II, 29 (N) No. 1 ",1981-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,982.13",1982-01-01T00:00:00Z,Not on view
Theophilus Brown,Male,American,1919-01-01T00:00:00Z,2012-01-01T00:00:00Z,Kevin Kearney,1978-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,983.394",1983-01-01T00:00:00Z,Not on view
Tod Wizon,Male,American,1952-01-01T00:00:00Z,Null,Points of Release,1983-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,984.111",1984-01-01T00:00:00Z,Not on view
Tod Wizon,Male,American,1952-01-01T00:00:00Z,Null,Above (for Steven Schmidt,1986-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,987.11",1987-01-01T00:00:00Z,Not on view
Tom Lieber,Male,American,1949-01-01T00:00:00Z,Null,Two Attentions,1983-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,983.39",1983-01-01T00:00:00Z,Not on view
Broto,Male,Spanish,1952-01-01T00:00:00Z,Null,Untitled,1985-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1986.230.1,1986-01-01T00:00:00Z,Not on view
Caio Fonseca,Male,American,1959-01-01T00:00:00Z,Null,Tenth Street/ Number 5,1992-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,993.115",1993-01-01T00:00:00Z,Not on view
Alma Thomas,Female,American,1895-01-01T00:00:00Z,1978-01-01T00:00:00Z,Red Roses Sonata,1972-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,976.94",1976-01-01T00:00:00Z,Not on view
Anatjari Tjakamarra,Female,Australian,1930-01-01T00:00:00Z,1992-01-01T00:00:00Z,Tingari Cycle Dreaming at Paratjakutti,1989-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,989.315",1989-01-01T00:00:00Z,Not on view
Cynthia Hazen Polsky,Female,Null,Null,Null,Love's Tide,1973-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,989.111",1989-01-01T00:00:00Z,Not on view
Edwina Leapman,Female,British,1931-01-01T00:00:00Z,Null,Untitled,1993-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,994.225",1994-01-01T00:00:00Z,Not on view
Helen Frankenthaler,Female,American,1928-01-01T00:00:00Z,2011-01-01T00:00:00Z,Stride,1969-01-01T00:00:00Z,Acrylic on canvas,Acrylic,69.275,1969-01-01T00:00:00Z,Not on view
Helen Frankenthaler,Female,American,1928-01-01T00:00:00Z,2011-01-01T00:00:00Z,Inner Edge,1966-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1993.498.1,1993-01-01T00:00:00Z,Not on view
Helen Frankenthaler,Female,American,1928-01-01T00:00:00Z,2011-01-01T00:00:00Z,Eros,1988-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,995.158",1995-01-01T00:00:00Z,Not on view
Liliana Porter,Female,American,1941-01-01T00:00:00Z,Null,The Way Out,1990-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,991.13",1991-01-01T00:00:00Z,Not on view
Lizbeth Mitty,Female,American,1952-01-01T00:00:00Z,Null,Break Out,1982-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,983.443",1983-01-01T00:00:00Z,Not on view
May Stevens,Female,American,1924-01-01T00:00:00Z,Null,Procession,1983-01-01T00:00:00Z,Acrylic on canvas,Acrylic,"1,993.266",1993-01-01T00:00:00Z,Not on view
Ronnie Landfield,Female,American,1947-01-01T00:00:00Z,Null,From Portal to Paradise,1982-01-01T00:00:00Z,Acrylic on canvas,Acrylic,1983.78.1,1983-01-01T00:00:00Z,Not on view
Frank Bowling,Male,British,1936-01-01T00:00:00Z,Null,According to Keitur Falls,1974-01-01T00:00:00Z,Acrylic on canvas on Masonite,Acrylic,1980.574.1,1980-01-01T00:00:00Z,Not on view
Sam Gilliam,Male,American,1933-01-01T00:00:00Z,Null,Leah's Renoir,1979-01-01T00:00:00Z,Acrylic on canvas with collage sections,Acrylic,"1,979.212",1979-01-01T00:00:00Z,Not on view
Richard Artschwager,Male,American,1923-01-01T00:00:00Z,2013-01-01T00:00:00Z,Men's Dormitory,1966-01-01T00:00:00Z,Acrylic on cardboard,Acrylic,"1,989.81",1989-01-01T00:00:00Z,On view in Gallery 925
Vincent D. Smith,Male,American,1929-01-01T00:00:00Z,2003-01-01T00:00:00Z,"Study for Mural at Boys and Girls High School, Bedford-Stuyvestant, Brooklyn, 1972",1972-01-01T00:00:00Z,Acrylic on cardboard,Acrylic,2002.219a-d,2002-01-01T00:00:00Z,Not on view
Richard Artschwager,Male,American,1923-01-01T00:00:00Z,2013-01-01T00:00:00Z,Bread,1966-01-01T00:00:00Z,Acrylic on chip board with artist-made metal frame,Acrylic,2006.32.3,2006-01-01T00:00:00Z,Not on view
Edda Renouf,Female,American,1943-01-01T00:00:00Z,Null,Flight II,1979-01-01T00:00:00Z,Acrylic on linen,Acrylic,"1,981.419",1981-01-01T00:00:00Z,Not on view
David Wojnarowicz,Male,American,1954-01-01T00:00:00Z,1992-01-01T00:00:00Z,William Morales/ Patron of Prison Breaks,1983-01-01T00:00:00Z,Acrylic on Masonite,Acrylic,"1,983.586",1983-01-01T00:00:00Z,Not on view
Jorge Eduardo,Male,Brazilian,1936-01-01T00:00:00Z,Null,A Big Apple,1990-01-01T00:00:00Z,Acrylic on Masonite,Acrylic,"1,993.239",1993-01-01T00:00:00Z,Not on view
Ken Kiff,Male,British,1935-01-01T00:00:00Z,2001-01-01T00:00:00Z,Assipattle Sailed into the Gaping Mouth,1977-01-01T00:00:00Z,Acrylic on Masonite,Acrylic,"1,986.224",1986-01-01T00:00:00Z,Not on view
Robert Lowe,Male,British,1955-01-01T00:00:00Z,Null,Untitled,1985-01-01T00:00:00Z,Acrylic on Masonite,Acrylic,"1,985.394",1985-01-01T00:00:00Z,Not on view
Claude Lawrence,Male,American,1944-01-01T00:00:00Z,Null,Oasis,2001-01-01T00:00:00Z,Acrylic on paper,Acrylic,2014.492.6,2014-01-01T00:00:00Z,Not on view
Al Held,Male,American,1928-01-01T00:00:00Z,2005-01-01T00:00:00Z,Taxi Cab III,1959-01-01T00:00:00Z,Acrylic on paper/ mounted on canvas,Acrylic,"1,987.156",1987-01-01T00:00:00Z,Not on view
