ARTIST NAME,GENDER,NATIONALITY,BIRTH_YEAR,DEATH_YEAR,OBJECT_TITLE,OBJECT_DATE,MEDIUM,PRIMARY_MEDIUM,ACCESSION_NUMBER,ACCESSION_YEAR,STATUS
Willem de Kooning,Male,American,1904-01-01T00:00:00Z,1997-01-01T00:00:00Z,Attic,1949-01-01T00:00:00Z,Oil/ enamel/ and newspaper transfer on canvas,Oil,1982.16.3,1982-01-01T00:00:00Z,On view in Gallery 920
Jim Dine,Male,American,1935-01-01T00:00:00Z,Null,The Heart,1981-01-01T00:00:00Z,Oil/ enamel/ charcoal and pastel on paper,Oil,1985.52.2,1985-01-01T00:00:00Z,Not on view
Jim Dine,Male,American,1935-01-01T00:00:00Z,Null,Shells,1981-01-01T00:00:00Z,Oil/ enamel/ pastel and charcoal on paper/ mounted on linen,Oil,1985.52.3,1985-01-01T00:00:00Z,Not on view
Jim Dine,Male,American,1935-01-01T00:00:00Z,Null,Lausanne,1992-01-01T00:00:00Z,Oil/ enamel/ wood/ and electrical outlets on two plywood panels/ with eight cast aluminum/ painted ceramic lamps,Oil,1995.224a-j,1995-01-01T00:00:00Z,Not on view
Arthur Dove,Male,American,1880-01-01T00:00:00Z,1946-01-01T00:00:00Z,Portrait of Ralph Dusenberry,1924-01-01T00:00:00Z,Oil/ folding wooden rulers/ wood/ and cut and pasted printed paper on canvas,Oil,49.70.36,1949-01-01T00:00:00Z,On view in Gallery 913
Lois Lane,Female,American,1948-01-01T00:00:00Z,Null,Untitled,1978-01-01T00:00:00Z,Oil/ gesso/ metallic paint/ and graphite on canvas,Oil,"1,993.453",1993-01-01T00:00:00Z,Not on view
Paul Klee,Male,German,1879-01-01T00:00:00Z,1940-01-01T00:00:00Z,"Theater, Mountain, Construction",1920-01-01T00:00:00Z,Oil/ gouache/ and ink on paper mounted on cardboard,Oil,1987.455.4,1987-01-01T00:00:00Z,Not on view
Keith Milow,Male,British,1945-01-01T00:00:00Z,Null,Untitled,1988-01-01T00:00:00Z,Oil/ graphite/ and copper on wood,Oil,1989.113.1,1989-01-01T00:00:00Z,Not on view
Keith Milow,Male,British,1945-01-01T00:00:00Z,Null,Untitled,1988-01-01T00:00:00Z,Oil/ graphite/ and copper on wood,Oil,1989.113.2,1989-01-01T00:00:00Z,Not on view
Kevin Larmon,Male,American,1955-01-01T00:00:00Z,Null,Delphinium,1988-01-01T00:00:00Z,Oil/ graphite/ charcoal and pebbles on canvas,Oil,2002.528.1,2002-01-01T00:00:00Z,Not on view
Milton Resnick,Male,American,1917-01-01T00:00:00Z,2004-01-01T00:00:00Z,Untitled,1945-01-01T00:00:00Z,Oil/ graphite/ crayon/ and charcoal on cardboard/ mounted on Masonite,Oil,2006.32.52,2006-01-01T00:00:00Z,Not on view
Charles Demuth,Male,American,1883-01-01T00:00:00Z,1935-01-01T00:00:00Z,I Saw the Figure 5 in Gold,1928-01-01T00:00:00Z,Oil/ graphite/ ink/ and gold leaf on paperboard (Upson board,Oil,49.59.1,1949-01-01T00:00:00Z,On view in Gallery 902
Frances Barth,Female,American,1946-01-01T00:00:00Z,Null,Vessel,1978-01-01T00:00:00Z,Oil/ graphite/ pastel crayon/ and ink on paper,Oil,1981.19.2,1981-01-01T00:00:00Z,Not on view
David Hockney,Male,British,1937-01-01T00:00:00Z,Null,Large Interior/ Los Angeles,1988-01-01T00:00:00Z,"Oil/ ink on cut, and pasted paper on canvas",Oil,"1,989.279",1989-01-01T00:00:00Z,On view in Gallery 915
Franz Kline,Male,American,1910-01-01T00:00:00Z,1962-01-01T00:00:00Z,Untitled,1956-01-01T00:00:00Z,Oil/ ink/ cut/ torn and pasted paper on paper,Oil,1984.554.1,1984-01-01T00:00:00Z,Not on view
Nate Lowman,Male,American,1979-01-01T00:00:00Z,Null,Jailbreak,2012-01-01T00:00:00Z,Oil/ inkjet printing/ alkyd/ and mixed media on canvas,Oil,"2,013.1119",2013-01-01T00:00:00Z,Not on view
Esteban Vicente,Male,American,1903-01-01T00:00:00Z,2001-01-01T00:00:00Z,Number One,1951-01-01T00:00:00Z,Oil/ newspaper transfer/ charcoal/ and graphite on canvas,Oil,2006.32.64,2006-01-01T00:00:00Z,Not on view
Jim Dine,Male,American,1935-01-01T00:00:00Z,Null,The Robe,1984-01-01T00:00:00Z,Oil/ oil pastel/ charcoal/ cut and pasted paper on paper,Oil,1985.52.4,1985-01-01T00:00:00Z,Not on view
Ford Crull,Male,American,1952-01-01T00:00:00Z,Null,Open Series/ Number 14,1989-01-01T00:00:00Z,Oil/ oilstick/ and graphite on paper,Oil,1991.12.2,1991-01-01T00:00:00Z,Not on view
Stanislav Kolibal,Male,Czech,1925-01-01T00:00:00Z,Null,As a Table,1986-01-01T00:00:00Z,Oil/ oilstick/ charcoal/ wood/ and lead on wood,Oil,"1,987.216",1987-01-01T00:00:00Z,Not on view
Georges No√´l,Male,French,1924-01-01T00:00:00Z,Null,Lohengrin,1988-01-01T00:00:00Z,Oil/ sand/ and glue on canvas,Oil,"1,993.86",1993-01-01T00:00:00Z,Not on view
Pablo Picasso,Male,Spanish,1881-01-01T00:00:00Z,1973-01-01T00:00:00Z,Guitar and Clarinet on a Mantelpiece,1915-01-01T00:00:00Z,Oil/ sand/ and paper on canvas,Oil,1996.403.3,1996-01-01T00:00:00Z,On view in Gallery 910
Robert Kushner,Male,American,1949-01-01T00:00:00Z,Null,Petunias and Salvia,1988-01-01T00:00:00Z,Oil/ silver leaf/ glitter/ and wallpaper on canvas,Oil,"1,991.72",1991-01-01T00:00:00Z,Not on view
Lee Jaffe,Male,American,1950-01-01T00:00:00Z,Null,The Life and Times of Sally Hemmings/ Part II,1984-01-01T00:00:00Z,Oil/ silver/ bronze and aluminum paint/ $2 bills/ wax/ and sand on mirror and wood,Oil,1986.105a-c,1986-01-01T00:00:00Z,Not on view
Manolo Valdes,Male,Spanish,1942-01-01T00:00:00Z,Null,Portrait of a Woman,1990-01-01T00:00:00Z,Oil/ tar/ masking tape/ and powdered pigment on burlap,Oil,"1,991.212",1991-01-01T00:00:00Z,Not on view
Steven Hawley,Male,American,1950-01-01T00:00:00Z,Null,Bob Hale's Death,1988-01-01T00:00:00Z,Oil/ wax/ alkyd on canvas,Oil,"1,994.546",1994-01-01T00:00:00Z,Not on view
Tremain Smith,Male,American,1961-01-01T00:00:00Z,Null,Mystery,2000-01-01T00:00:00Z,Oil/ wax/ and graphite on plywood,Oil,"2,000.499",2000-01-01T00:00:00Z,Not on view
Tremain Smith,Male,American,1961-01-01T00:00:00Z,Null,Entrances,2000-01-01T00:00:00Z,Oil/ wax/ and ink on paper,Oil,"2,000.5",2000-01-01T00:00:00Z,Not on view
Yuri Kuper,Male,British,1940-01-01T00:00:00Z,Null,Triptych,1987-01-01T00:00:00Z,Oil/ wood/ glass/ pen nibs/ and ceramic plate on canvas,Oil,1988.238a-c,1988-01-01T00:00:00Z,Not on view
Donald Moffett,Male,American,1955-01-01T00:00:00Z,Null,Lot 010907 (7wl,2007-01-01T00:00:00Z,Oil/alkyd/ rayon/ plated nickel and polyvinyl acetate on canvas,Oil,"2,013.61",2013-01-01T00:00:00Z,Not on view
Jane Dickson,Female,American,1952-01-01T00:00:00Z,Null,Big Oval,1985-01-01T00:00:00Z,Oilstick on canvas,Oil,"1,986.217",1986-01-01T00:00:00Z,Not on view
Ford Crull,Male,American,1952-01-01T00:00:00Z,Null,Cult Figure/ Number 6,1987-01-01T00:00:00Z,Oilstick/ oil/ and graphite on paper,Oil,1991.12.1,1991-01-01T00:00:00Z,Not on view
Conrad Marca-Relli,Male,American,1913-01-01T00:00:00Z,2000-01-01T00:00:00Z,The Witnesses,1956-01-01T00:00:00Z,Painted and cut sections of oil on canvas mounted on canvas,Oil,2006.32.41,2006-01-01T00:00:00Z,Not on view
Stephen Hannock,Male,American,1951-01-01T00:00:00Z,Null,Vortex at Dawn: Collapsed,1992-01-01T00:00:00Z,Polished oil on canvas/ mounted on board,Oil,"1,992.3",1992-01-01T00:00:00Z,Not on view
Steven Montgomery,Male,American,1954-01-01T00:00:00Z,Null,Standard Emission,1998-01-01T00:00:00Z,Whiteware/ oil paint,Oil,"1,998.286",1998-01-01T00:00:00Z,Not on view
Varujan Boghosian,Male,American,1926-01-01T00:00:00Z,Null,Jack of Hearts,1974-01-01T00:00:00Z,Wood/ oil/ cloth/ nails/ nut and bolt,Oil,"1,986.79",1986-01-01T00:00:00Z,Not on view
Adolfo Patińo,Male,Mexican,1954-01-01T00:00:00Z,Null,Saint Frida,1989-01-01T00:00:00Z,Wooden rulers/ gold leaf/ oil paint/ cut and pasted paper/ rose stems and petals/ and metal pin on wood,Oil,"1990.187a, c",1990-01-01T00:00:00Z,Not on view
Robert Mason,Male,British,1946-01-01T00:00:00Z,Null,Self-Portrait (The Mirror),1988-01-01T00:00:00Z,Photograph transfer and oil on canvas,Oil,"1,988.216",1988-01-01T00:00:00Z,Not on view
