ARTISTIC_ENTITY,GENDER,NATIONALITY,OBJECT_TITLE,OBJECT_DATE,PRIMARY_MEDIUM,ACCESSION_YEAR,OBJECT_TYPE
A. R. Penck,Male,German,Untitled,1974-01-01T00:00:00Z,Gouache,1992-01-01T00:00:00Z,Painting
A. R. Penck,Male,German,Untitled,1980-01-01T00:00:00Z,Oil Pastel,1986-01-01T00:00:00Z,Painting
A. Robert Birmelin,Male,American,City Crowd/ Cop and Ear,1980-01-01T00:00:00Z,Acrylic,1981-01-01T00:00:00Z,Painting
A. Robert Birmelin,Male,American,The Crowd at Night,1962-01-01T00:00:00Z,Crayon,1967-01-01T00:00:00Z,Painting
A. Sheldon Pennoyer,Male,American,Church of the Spirito Santo/ Ronda,1926-01-01T00:00:00Z,Oil,1926-01-01T00:00:00Z,Painting
Aaron A Shikler,Male,American,"The Gold Screen, George Basso at the Organ",1957-01-01T00:00:00Z,Oil,1957-01-01T00:00:00Z,Painting
Aaron Bohrod,Male,American,Frame Houses,1939-01-01T00:00:00Z,Gouache,1939-01-01T00:00:00Z,Painting
Aaron Bohrod,Male,American,West Side Photographer's Shop,1947-01-01T00:00:00Z,Gouache,1948-01-01T00:00:00Z,Painting
Aaron Bohrod,Male,American,Reflections on a Shop Window,1942-01-01T00:00:00Z,Oil,1942-01-01T00:00:00Z,Painting
Aaron Fink,Male,American,Untitled,1987-01-01T00:00:00Z,Oil,1989-01-01T00:00:00Z,Painting
Abestenia Saint Leger Eberle,Female,American,Girl Skating,1906-01-01T00:00:00Z,Bronze,1909-01-01T00:00:00Z,Sculpture
Abraham Rattner,Male,American,Woman Cutting Bread,1946-01-01T00:00:00Z,Oil,1950-01-01T00:00:00Z,Painting
Abraham Rattner,Male,American,The Survivors,1942-01-01T00:00:00Z,Oil,1951-01-01T00:00:00Z,Painting
Abraham Walkowitz,Male,American,Pink Roofs,1916-01-01T00:00:00Z,Watercolor,1949-01-01T00:00:00Z,Painting
Abraham Walkowitz,Male,American,Lake George/ No. 3,1916-01-01T00:00:00Z,Watercolor,1949-01-01T00:00:00Z,Painting
Abraham Walkowitz,Male,American,Provincetown,1916-01-01T00:00:00Z,Watercolor,1949-01-01T00:00:00Z,Painting
Abram Belskie,Male,American,The Goddess of Art,Null,Bronze,1954-01-01T00:00:00Z,Sculpture
ACT UP New York,Null,American,ACT UP Art Box,1993-01-01T00:00:00Z,Mixed Media,1995-01-01T00:00:00Z,Sculpture
Ad Reinhardt,Male,American,Red Painting,1952-01-01T00:00:00Z,Oil,1968-01-01T00:00:00Z,Painting
Ad Reinhardt,Male,American,"Abstract Painting, Gray ",1950-01-01T00:00:00Z,Oil,1976-01-01T00:00:00Z,Painting
Adam Cvijanovic,Male,American,Private Joke,1984-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Adan Hernandez,Male,American,There is a River,1991-01-01T00:00:00Z,Oil,1991-01-01T00:00:00Z,Painting
Adlai S. Hardin,Male,American,NATIVITY,Null,Bronze,1961-01-01T00:00:00Z,Sculpture
Adolfo Patino,Male,Mexican,Saint Frida,1989-01-01T00:00:00Z,Oil,1990-01-01T00:00:00Z,Painting
Adolfo Riestra,Male,Mexican,Beach Story,1989-01-01T00:00:00Z,Gouache,1990-01-01T00:00:00Z,Painting
Adolfo Riestra,Male,Mexican,Three People in Boats,1989-01-01T00:00:00Z,Gouache,1990-01-01T00:00:00Z,Painting
Adolfo Riestra,Male,Mexican,Lizard and Woman with Child,1989-01-01T00:00:00Z,Graphite,1990-01-01T00:00:00Z,Painting
Adolph Block,Male,American,Pilgrim Family,1961-01-01T00:00:00Z,Bronze,1961-01-01T00:00:00Z,Sculpture
Adolph Gottlieb,Male,American,Signs for Magic,1946-01-01T00:00:00Z,Gouache,1967-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,Pictograph,1948-01-01T00:00:00Z,Gouache,1994-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,T,1950-01-01T00:00:00Z,Oil,1952-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,Thrust,1959-01-01T00:00:00Z,Oil,1959-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,Cool Note,1965-01-01T00:00:00Z,Oil,1975-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,Solitary,1957-01-01T00:00:00Z,Oil,1981-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,Petaloid-Negative,1968-01-01T00:00:00Z,Steel,1991-01-01T00:00:00Z,Sculpture
Adrian Saxe,Male,American,Untitled,1982-01-01T00:00:00Z,Porcelain,1997-01-01T00:00:00Z,Sculpture
Afro,Male,Italian,Per non Dimenticare,1955-01-01T00:00:00Z,Oil,1991-01-01T00:00:00Z,Painting
Afro,Male,Italian,Untitled,1952-01-01T00:00:00Z,Oil,1993-01-01T00:00:00Z,Painting
Afro,Male,Italian,Sleeping Woman,1948-01-01T00:00:00Z,Watercolor,1991-01-01T00:00:00Z,Painting
Agnes Denes,Female,American,"Isometric Systems in Isotropic Space, Map Projections: The Pyramid",1980-01-01T00:00:00Z,Ink,2001-01-01T00:00:00Z,Painting
Agnes Denes,Female,American,Isometric Systems in Isotropic Space: Map Projections: The Doughnut (tangent torus,1980-01-01T00:00:00Z,Ink,2001-01-01T00:00:00Z,Painting
Agnes Denes,Female,American,"Study of Distortions; Isometric Systems in Isotropic Space, Map Projections: The Cube",1978-01-01T00:00:00Z,Watercolor,1983-01-01T00:00:00Z,Painting
Agnes Martin,Female,American,Untitled # 9,1984-01-01T00:00:00Z,Acrylic,1984-01-01T00:00:00Z,Painting
Al Held,Male,American,Mercury Zone III,1975-01-01T00:00:00Z,Acrylic,1976-01-01T00:00:00Z,Painting
Al Held,Male,American,Greek Garden,1966-01-01T00:00:00Z,Acrylic,1987-01-01T00:00:00Z,Painting
Al Held,Male,American,Taxi Cab III,1959-01-01T00:00:00Z,Acrylic,1987-01-01T00:00:00Z,Painting
Al Loving,Male,American,Untitled,1971-01-01T00:00:00Z,Acrylic,2011-01-01T00:00:00Z,Painting
Alan Reynolds,Male,British,River Bed Polyphony,1953-01-01T00:00:00Z,Oil,1968-01-01T00:00:00Z,Painting
Alan Shields,Male,American,Flag of Hudson Avenue No.2,1976-01-01T00:00:00Z,Acrylic,1984-01-01T00:00:00Z,Painting
Alan Sonfist,Male,American,Landscape of the Sky,1968-01-01T00:00:00Z,Resin,1987-01-01T00:00:00Z,Painting
Alan Sonfist,Male,American,Landscape of the Earth,1969-01-01T00:00:00Z,Resin,1987-01-01T00:00:00Z,Painting
Albert Andre,Male,French,The Masons,1926-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Albert Eugene Gallatin,Male,American,Parallel Forms II,1941-01-01T00:00:00Z,Oil,1952-01-01T00:00:00Z,Painting
Albert Eugene Gallatin,Male,American,Number 28 (Still Life,1940-01-01T00:00:00Z,Oil,1985-01-01T00:00:00Z,Painting
Albert Gleizes,Male,French,Street Scene in Bermuda,1917-01-01T00:00:00Z,Oil,1964-01-01T00:00:00Z,Painting
Albert Laessle,Male,American,"Abundance of America"" Medal",1934-01-01T00:00:00Z,Bronze,1934-01-01T00:00:00Z,Sculpture
Albert Laessle,Male,American,Turning Turtle,1905-01-01T00:00:00Z,Bronze,1917-01-01T00:00:00Z,Sculpture
Albert Marquet,Male,French,The Pont Neuf/ ,1935-01-01T00:00:00Z,Oil,1966-01-01T00:00:00Z,Painting
Albert Marquet,Male,French,View from a Balcony,1945-01-01T00:00:00Z,Oil,1998-01-01T00:00:00Z,Painting
Albert Marquet,Male,French,Vase de Fleurs,1941-01-01T00:00:00Z,Oil,1976-01-01T00:00:00Z,Painting
Albert Stewart,Male,American,PEACE,1936-01-01T00:00:00Z,Bronze,1936-01-01T00:00:00Z,Sculpture
Albert Stewart,Male,American,Silver King,1927-01-01T00:00:00Z,Bronze,1938-01-01T00:00:00Z,Sculpture
Albert W. Wein,Male,American,IN THE BEGINNING GOD CREATED THE HEAVEN AND THE EARTH / AND GOD SAW EVERYTHING THAT HE HAD MADE AND BEHOLD IT WAS VERY GOOD,1951-01-01T00:00:00Z,Bronze,1951-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Annette,1961-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Alberto Giacometti,Male,Swiss,Still Life with an Apple,1937-01-01T00:00:00Z,Oil,2002-01-01T00:00:00Z,Painting
Alberto Giacometti,Male,Swiss,Annette/ VI,1962-01-01T00:00:00Z,Bronze,1981-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Head of Diego,1950-01-01T00:00:00Z,Bronze,1999-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Head/Skull,1934-01-01T00:00:00Z,Plaster,2004-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Marie-Laure,1946-01-01T00:00:00Z,Bronze,2002-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Small Bust on Socle,1947-01-01T00:00:00Z,Plaster,2002-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Standing Woman,1946-01-01T00:00:00Z,Plaster,2002-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Tall Figure,1947-01-01T00:00:00Z,Bronze,2002-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,The Cat,1954-01-01T00:00:00Z,Bronze,1999-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,The Forest (Composition with Seven Figures and a Head),1950-01-01T00:00:00Z,Bronze,2006-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Three Men Walking II,1949-01-01T00:00:00Z,Bronze,1999-01-01T00:00:00Z,Sculpture
Alberto Giacometti,Male,Swiss,Woman of Venice II,1956-01-01T00:00:00Z,Bronze,1999-01-01T00:00:00Z,Sculpture
Albino Manca,Male,American,ARISTOTLE CONTEMPLATING THE BUST OF HOMER,1962-01-01T00:00:00Z,Bronze,1964-01-01T00:00:00Z,Sculpture
Albino Manca,Male,American,EAST COAST MEMORIAL,1963-01-01T00:00:00Z,Bronze,1964-01-01T00:00:00Z,Sculpture
Aldro T Hibbard,Male,American,Hills of Vermont,1922-01-01T00:00:00Z,Oil,1923-01-01T00:00:00Z,Painting
Alejandro Arango,Male,Mexican,Invocation,1988-01-01T00:00:00Z,Oil,1990-01-01T00:00:00Z,Painting
Alex Katz,Male,American,Study for Philip Pearlstein (1924,1978-01-01T00:00:00Z,Oil,1979-01-01T00:00:00Z,Painting
Alex Katz,Male,American,Philip Pearlstein (1924-),1978-01-01T00:00:00Z,Oil,1979-01-01T00:00:00Z,Painting
Alex Katz,Male,American,Black and Brown Blouse,1976-01-01T00:00:00Z,Oil,1978-01-01T00:00:00Z,Painting
Alex Katz,Male,American,Face of a Poet,1972-01-01T00:00:00Z,Oil,1986-01-01T00:00:00Z,Painting
Alex Katz,Male,American,Gold Earrings,1955-01-01T00:00:00Z,Tempera,1991-01-01T00:00:00Z,Painting
Alexander Archipenko,Male,American,Female Torso,1920-01-01T00:00:00Z,Marble,1964-01-01T00:00:00Z,Sculpture
Alexander Archipenko,Male,American,Standing Female Nude,1921-01-01T00:00:00Z,Bronze,1984-01-01T00:00:00Z,Sculpture
Alexander Archipenko,Male,American,Standing Woman,1925-01-01T00:00:00Z,Silver,1983-01-01T00:00:00Z,Sculpture
Alexander Archipenko,Male,American,The Gondolier,1914-01-01T00:00:00Z,Bronze,1964-01-01T00:00:00Z,Sculpture
Alexander Archipenko,Male,American,The Past,1926-01-01T00:00:00Z,Silver,1983-01-01T00:00:00Z,Sculpture
Alexander Benois,Male,Russian,City Scene (Stage Design),Null,Watercolor,2007-01-01T00:00:00Z,Painting
Alexander Brook,Male,American,My Son Sandy,1932-01-01T00:00:00Z,Oil,1933-01-01T00:00:00Z,Painting
Alexander Brook,Male,American,Jane Bouché,1934-01-01T00:00:00Z,Oil,1992-01-01T00:00:00Z,Painting
Alexander Calder,Male,American,African head,1928-01-01T00:00:00Z,Wood,1966-01-01T00:00:00Z,Sculpture
Alexander Calder,Male,American,Black Clouds,1939-01-01T00:00:00Z,Mixed Media,2012-01-01T00:00:00Z,Sculpture
Alexander Calder,Male,American,Four Directions,1956-01-01T00:00:00Z,Mixed Media,2006-01-01T00:00:00Z,Sculpture
Alexander Calder,Male,American,Mobile,1941-01-01T00:00:00Z,Mixed Media,1942-01-01T00:00:00Z,Sculpture
Alexander Calder,Male,American,Mobile,1941-01-01T00:00:00Z,Mixed Media,1942-01-01T00:00:00Z,Sculpture
Alexander Calder,Male,American,Red Curlicue with Six Davits,1959-01-01T00:00:00Z,Mixed Media,2012-01-01T00:00:00Z,Sculpture
Alexander Calder,Male,American,Red Gongs,1950-01-01T00:00:00Z,Mixed Media,1955-01-01T00:00:00Z,Sculpture
Alexander Calder,Male,American,Red Gongs,1950-01-01T00:00:00Z,Mixed Media,1955-01-01T00:00:00Z,Sculpture
Alexander Calder,Male,American,Woman,1926-01-01T00:00:00Z,Wood,1966-01-01T00:00:00Z,Sculpture
Alexander Finta,Male,American,Patrick Cardinal Hayes,1927-01-01T00:00:00Z,Marble,1927-01-01T00:00:00Z,Sculpture
Alexander Liberman,Male,American,Two Circles,1950-01-01T00:00:00Z,Enamel,1993-01-01T00:00:00Z,Painting
Alexander Liberman,Male,American,Blue Dominants,1959-01-01T00:00:00Z,Oil,1975-01-01T00:00:00Z,Painting
Alexander Liberman,Male,American,Oracle I,1963-01-01T00:00:00Z,Steel,1975-01-01T00:00:00Z,Sculpture
Alexander Liberman,Male,American,Untitled,1959-01-01T00:00:00Z,Steel,1978-01-01T00:00:00Z,Sculpture
Alexander Liberman,Male,American,Untitled,1968-01-01T00:00:00Z,Steel,1978-01-01T00:00:00Z,Sculpture
Alfonso Ossorio,Male,American,Conflict,1956-01-01T00:00:00Z,Oil,1958-01-01T00:00:00Z,Painting
Alfonso Ossorio,Male,American,Donna Georgica,1965-01-01T00:00:00Z,Mixed Media,1978-01-01T00:00:00Z,Sculpture
Alfred Kubin,Male,Austrian,The Bridegroom,1903-01-01T00:00:00Z,Watercolor,1984-01-01T00:00:00Z,Painting
Alfred Leslie,Male,American,The Lady's Flowers,1953-01-01T00:00:00Z,Oil,2006-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Bathers,1939-01-01T00:00:00Z,Gouache,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Old Fisherman,1946-01-01T00:00:00Z,Ink,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,The Beach,1939-01-01T00:00:00Z,Oil,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Waterlilies,1946-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,The Lighthouse,1947-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Sailboats,1946-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Dream Catch,1951-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Gloucester Dock,1948-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Fisherman's Harbor,1946-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Nude and Net,1946-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Space Invasion,1950-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Cosmos,1945-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Fisherman in Gloucester,1945-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Street in Gloucester,1945-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,Sunset in Gloucester,1945-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Levitt,Male,American,The Hall,1945-01-01T00:00:00Z,Watercolor,1985-01-01T00:00:00Z,Painting
Alfred Maurer,Male,American,Abstraction,1925-01-01T00:00:00Z,Gouache,1988-01-01T00:00:00Z,Painting
Alfred Maurer,Male,American,Still Life with Fish,1927-01-01T00:00:00Z,Oil,1955-01-01T00:00:00Z,Painting
Alfred Maurer,Male,American,Head,1928-01-01T00:00:00Z,Oil,1957-01-01T00:00:00Z,Painting
Alfred Munnings,Male,British,Two Race Horses Walking Down Past the Post,1935-01-01T00:00:00Z,Oil,1976-01-01T00:00:00Z,Painting
Algernon Newton RA,Male,British,Stormy Sunset on the East Coast,1939-01-01T00:00:00Z,Oil,2011-01-01T00:00:00Z,Painting
Alice Baber,Female,American,The Path of the Grey Falcon of the Dawn,1979-01-01T00:00:00Z,Oil,1980-01-01T00:00:00Z,Painting
Alice Dalton Brown,Female,American,Small Golden Corner,1988-01-01T00:00:00Z,Oil,2000-01-01T00:00:00Z,Painting
Alice Neel,Female,American,Henry Geldzahler,1967-01-01T00:00:00Z,Oil,1981-01-01T00:00:00Z,Painting
Alice Neel,Female,American,Lida Moser,1963-01-01T00:00:00Z,Oil,1986-01-01T00:00:00Z,Painting
Alice Neel,Female,American,Elenka,1936-01-01T00:00:00Z,Oil,1987-01-01T00:00:00Z,Painting
Alice Neel,Female,American,Arthur Bullowa,1967-01-01T00:00:00Z,Oil,1994-01-01T00:00:00Z,Painting
Alice Neel,Female,American,Portrait of Richard Bagley,1946-01-01T00:00:00Z,Oil,2014-01-01T00:00:00Z,Painting
Alice Trumbull Mason,Female,American,Latitude of Identical Shapes,1945-01-01T00:00:00Z,Oil,1976-01-01T00:00:00Z,Painting
Alison Saar,Female,American,Sweeping Beauty,1997-01-01T00:00:00Z,Mixed Media,1997-01-01T00:00:00Z,Sculpture
Alison Saar,Female,American,Tinto en Tando y Suta,1985-01-01T00:00:00Z,Mixed Media,1986-01-01T00:00:00Z,Sculpture
Allan d' Arcangelo,Male,American,SSO,1986-01-01T00:00:00Z,Acrylic,1990-01-01T00:00:00Z,Painting
Allan Houser,Male,American,APACHE,1959-01-01T00:00:00Z,Bronze,1959-01-01T00:00:00Z,Sculpture
Alma Thomas,Female,American,Red Roses Sonata,1972-01-01T00:00:00Z,Acrylic,1976-01-01T00:00:00Z,Painting
Altoon Sultan,Male,American,Heifers/ Pawlet/ Vermont,1987-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,The Italian Woman,1917-01-01T00:00:00Z,Oil,1956-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,Jeanne Hébuterne (1898-1920),1919-01-01T00:00:00Z,Oil,1956-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,Girl in a Sailor's Blouse,1918-01-01T00:00:00Z,Oil,1960-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,Juan Gris (1887-1927),1915-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,Flower Vendor,1919-01-01T00:00:00Z,Oil,1996-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,Reclining Nude,1917-01-01T00:00:00Z,Oil,1997-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,Boy in a Striped Sweater,1918-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,Lola de Valence,1915-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Amedeo Modigliani,Male,Italian,Woman's Head,1912-01-01T00:00:00Z,Limestone,1997-01-01T00:00:00Z,Sculpture
Amy Bennett,Female,American,Diagnosis,2010-01-01T00:00:00Z,Oil,2011-01-01T00:00:00Z,Painting
Amy Bennett,Female,American,Hypochondriac,2010-01-01T00:00:00Z,Oil,2011-01-01T00:00:00Z,Painting
Amy Weiskopf,Male,American,Still Life with a Clock,1986-01-01T00:00:00Z,Oil,1991-01-01T00:00:00Z,Painting
Ana Mendieta,Female,American,Amategram Series: The Vivification of the Flesh,1981-01-01T00:00:00Z,Gouache,1983-01-01T00:00:00Z,Painting
Ana Mendieta,Female,American,Amategram Series: Mother Jungle,1981-01-01T00:00:00Z,Gouache,1983-01-01T00:00:00Z,Painting
Ana Mendieta,Female,American,Amategram Series: Labyrinth of Venus,1981-01-01T00:00:00Z,Gouache,1983-01-01T00:00:00Z,Painting
Anatjari Tjakamarra,Female,Australian,Tingari Cycle Dreaming at Paratjakutti,1989-01-01T00:00:00Z,Acrylic,1989-01-01T00:00:00Z,Painting
Andre Derain,Male,French,The Artist in his Studio,1920-01-01T00:00:00Z,Gouache,2002-01-01T00:00:00Z,Painting
Andre Derain,Male,French,The Table,1911-01-01T00:00:00Z,Oil,1954-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Pitcher and Dishes,1912-01-01T00:00:00Z,Oil,1964-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Rita van Leer,1928-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Lucien Gilbert,1905-01-01T00:00:00Z,Oil,1975-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Fishing Boats/ Collioure,1905-01-01T00:00:00Z,Oil,1982-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Nude,1923-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Landscape: Camiers,1911-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Moïse Kisling (1891-1953),1921-01-01T00:00:00Z,Oil,1993-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Regent Street/ London,1906-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Andre Derain,Male,French,The Black Feather Boa,1935-01-01T00:00:00Z,Oil,2002-01-01T00:00:00Z,Painting
Andre Derain,Male,French,The Sunken Path/ L'Estaque,1906-01-01T00:00:00Z,Oil,2003-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Plate of Peaches,1907-01-01T00:00:00Z,Oil,2007-01-01T00:00:00Z,Painting
Andre Derain,Male,French,Dikran G. Kelekian (1868-1951),1924-01-01T00:00:00Z,Oil,1999-01-01T00:00:00Z,Painting
Andre-Dunoyer de Segonzac,Male,French,Model Dressing,1912-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Andree Ruellan,Male,American,Market Place,1939-01-01T00:00:00Z,Oil,1940-01-01T00:00:00Z,Painting
Andreas Slominski,Male,German,Windmill,1996-01-01T00:00:00Z,Mixed Media,2005-01-01T00:00:00Z,Sculpture
Andrew Gadd,Male,British,Ducati Pitstop Composition,1993-01-01T00:00:00Z,Tempera,1994-01-01T00:00:00Z,Painting
Andrew Michael Dasburg,Male,American,Road to Lamy/ New Mexico,1923-01-01T00:00:00Z,Oil,1951-01-01T00:00:00Z,Painting
Andrew Michael Dasburg,Male,American,Ducks,1927-01-01T00:00:00Z,Oil,1952-01-01T00:00:00Z,Painting
Andrew Moszynski,Male,British,Split,1984-01-01T00:00:00Z,Ink,1984-01-01T00:00:00Z,Painting
Andrew Moszynski,Male,British,Fold Site,1984-01-01T00:00:00Z,Ink,1984-01-01T00:00:00Z,Painting
Andrew Spence,Male,American,China,1991-01-01T00:00:00Z,Oil,1995-01-01T00:00:00Z,Painting
Andrew Spence,Male,American,Car Racks,1988-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Andrew Wyeth,Male,American,A Crow Flew By,1949-01-01T00:00:00Z,Egg Tempera,1950-01-01T00:00:00Z,Painting
Andrew Wyeth,Male,American,Grape Wine,1966-01-01T00:00:00Z,Tempera,1967-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Flowers,1967-01-01T00:00:00Z,Acrylic,1979-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Flowers,1967-01-01T00:00:00Z,Acrylic,1985-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Mona Lisa,1963-01-01T00:00:00Z,Acrylic,1965-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Mao,1972-01-01T00:00:00Z,Acrylic,1977-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Kimiko Powers,1972-01-01T00:00:00Z,Acrylic,1980-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Skull,1977-01-01T00:00:00Z,Acrylic,1981-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Mao,1973-01-01T00:00:00Z,Acrylic,1983-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Nine Jackies,1964-01-01T00:00:00Z,Acrylic,1983-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Mao,1973-01-01T00:00:00Z,Acrylic,1983-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Still Life,1976-01-01T00:00:00Z,Acrylic,1986-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Self-Portrait,1986-01-01T00:00:00Z,Acrylic,1987-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Ethel Scull 36 Times,1963-01-01T00:00:00Z,Acrylic,2001-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Portrait of Stephen Mazoh,1974-01-01T00:00:00Z,Acrylic,2004-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Portrait of Stephen Mazoh,1974-01-01T00:00:00Z,Acrylic,2004-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Milan Hollow Farm,1977-01-01T00:00:00Z,Acrylic,2004-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Dr. Scholl's Corns,1961-01-01T00:00:00Z,Casein,1982-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Before and After I,1961-01-01T00:00:00Z,Casein,1981-01-01T00:00:00Z,Painting
Andy Warhol,Male,American,Man,1960-01-01T00:00:00Z,Gouache,1995-01-01T00:00:00Z,Painting
Angela Conner,Female,British,Portrait Bust of Philippe de Montebello,2009-01-01T00:00:00Z,Bronze,2009-01-01T00:00:00Z,Sculpture
Angelo Ippolito,Male,American,Regatta No. 6,1986-01-01T00:00:00Z,Oil,1988-01-01T00:00:00Z,Painting
Anish Kapoor,Male,British,Untitled,2007-01-01T00:00:00Z,Steel,2008-01-01T00:00:00Z,Sculpture
Anita Huffington,Female,American,Persephone,1999-01-01T00:00:00Z,Alabaster,2002-01-01T00:00:00Z,Sculpture
Anita Weschler,Female,American,Victory Ball,1951-01-01T00:00:00Z,Stone,1982-01-01T00:00:00Z,Sculpture
Ann McCoy,Female,American,Altar I,1989-01-01T00:00:00Z,Mixed Media,1995-01-01T00:00:00Z,Sculpture
Anna Coleman Ladd,Female,American,SPIRIT OF SERBIA,1910-01-01T00:00:00Z,Bronze,1941-01-01T00:00:00Z,Sculpture
Anna Hyatt Huntington,Female,American,AFRICAN ANIMALS,1943-01-01T00:00:00Z,Bronze,1943-01-01T00:00:00Z,Sculpture
Anna Hyatt Huntington,Female,American,Jeton,1916-01-01T00:00:00Z,Bronze,1916-01-01T00:00:00Z,Sculpture
Anne Arnold,Female,American,Jean's Legs II,1965-01-01T00:00:00Z,Wood,1978-01-01T00:00:00Z,Sculpture
Anne Goldthwaite,Female,American,"Head of a Negress: ""Rachel",1929-01-01T00:00:00Z,Terracotta,1930-01-01T00:00:00Z,Sculpture
Anne Peretz,Female,American,Gabel Mukaber Village Sketch,2000-01-01T00:00:00Z,Oil,2001-01-01T00:00:00Z,Painting
