ARTISTIC_ENTITY,GENDER,NATIONALITY,OBJECT_TITLE,OBJECT_DATE,PRIMARY_MEDIUM,ACCESSION_YEAR,OBJECT_TYPE
Paul Wonner,Male,American,"Dutch Still Life with Orchids/ Postcard View of / and ""Death of Marat""",1983-01-01T00:00:00Z,Acrylic,1983-01-01T00:00:00Z,Painting
Paul-Albert Besnard,Male,French,Horses,1894-01-01T00:00:00Z,Oil,1967-01-01T00:00:00Z,Painting
Pavel Tchelitchew,Male,American,"The Fish Bowl (Study for ""Phenomena"")",1938-01-01T00:00:00Z,Gouache,1974-01-01T00:00:00Z,Painting
Pavel Tchelitchew,Male,American,Itinerary for an Aerial Journey (Anatomical Head,1945-01-01T00:00:00Z,Gouache,1952-01-01T00:00:00Z,Painting
Pavel Tchelitchew,Male,American,The Whirlwind,1939-01-01T00:00:00Z,Oil,1950-01-01T00:00:00Z,Painting
Pavel Tchelitchew,Male,American,Allen Tanner,1925-01-01T00:00:00Z,Oil,1968-01-01T00:00:00Z,Painting
Pavel Tchelitchew,Male,American,Green Venus,1928-01-01T00:00:00Z,Oil,1975-01-01T00:00:00Z,Painting
Pavel Tchelitchew,Male,American,The Mirror (Circus Dressing Room,1932-01-01T00:00:00Z,Oil,1979-01-01T00:00:00Z,Painting
Pearl Rau,Male,American,The Thrown Rider,1940-01-01T00:00:00Z,Watercolor,1940-01-01T00:00:00Z,Painting
Peggy Bacon,Female,American,Lingering Memories,1954-01-01T00:00:00Z,Ink,1956-01-01T00:00:00Z,Painting
Peppino Mangravite,Male,American,Music Hidden in the Shrubbery,1953-01-01T00:00:00Z,Oil,1953-01-01T00:00:00Z,Painting
Per Kirkeby,Male,Danish,Mysuseter III,1991-01-01T00:00:00Z,Oil,1996-01-01T00:00:00Z,Painting
Per Kirkeby,Male,Danish,Untitled,1981-01-01T00:00:00Z,Oil Pastel,1986-01-01T00:00:00Z,Painting
Per Kirkeby,Male,Danish,Untitled,1982-01-01T00:00:00Z,Watercolor,1986-01-01T00:00:00Z,Painting
Perkins Harnly,Male,American,1886,1940-01-01T00:00:00Z,Gouache,1943-01-01T00:00:00Z,Painting
